slot_index	slot_type	token	count
0	DIGITS	1	699853
0	DIGITS	2	272123
0	DIGITS	4	238996
0	DIGITS	3	221212
0	DIGITS	123	146979
0	DIGITS	7	129316
0	DIGITS	12	121734
0	DIGITS	5	114328
0	DIGITS	0	105195
0	DIGITS	8	100934
0	DIGITS	13	90319
0	DIGITS	6	85355
0	DIGITS	9	82820
0	DIGITS	11	78797
0	DIGITS	23	67325
0	DIGITS	22	67101
0	DIGITS	10	67035
0	DIGITS	14	63696
0	DIGITS	07	63553
0	DIGITS	21	63551
0	DIGITS	01	60640
0	DIGITS	15	56956
0	DIGITS	08	54651
0	DIGITS	06	54052
0	DIGITS	16	52076
0	DIGITS	18	50658
0	DIGITS	69	50069
0	DIGITS	17	48840
0	DIGITS	24	46374
0	DIGITS	05	43230
0	DIGITS	19	42078
0	DIGITS	09	39826
0	DIGITS	20	39227
0	DIGITS	25	38081
0	DIGITS	88	37434
0	DIGITS	03	33560
0	DIGITS	00	32686
0	DIGITS	27	32382
0	DIGITS	04	32170
0	DIGITS	02	30769
0	DIGITS	33	30611
0	DIGITS	89	30125
0	DIGITS	26	29804
0	DIGITS	99	29556
0	DIGITS	1234	29529
0	DIGITS	28	28907
0	DIGITS	77	27489
0	DIGITS	101	25757
0	DIGITS	92	24776
0	DIGITS	2007	24459
0	DIGITS	93	24119
0	DIGITS	87	23705
0	DIGITS	29	23495
0	DIGITS	94	22036
0	DIGITS	2006	22002
0	DIGITS	143	21845
0	DIGITS	90	21801
0	DIGITS	91	21169
0	DIGITS	30	20955
0	DIGITS	95	20667
0	DIGITS	2008	20022
0	DIGITS	55	19744
0	DIGITS	31	19459
0	DIGITS	100	19390
0	DIGITS	86	19214
0	DIGITS	666	18369
0	DIGITS	34	18011
0	DIGITS	44	17642
0	DIGITS	32	17525
0	DIGITS	96	17238
0	DIGITS	85	16945
0	DIGITS	45	16376
0	DIGITS	007	15930
0	DIGITS	84	15637
0	DIGITS	98	14736
0	DIGITS	1994	14514
0	DIGITS	78	14460
0	DIGITS	66	14389
0	DIGITS	2005	14300
0	DIGITS	1992	14159
0	DIGITS	1993	14070
0	DIGITS	83	14031
0	DIGITS	82	13849
0	DIGITS	12345	13545
0	DIGITS	97	13257
0	DIGITS	1991	13038
0	DIGITS	1995	12932
0	DIGITS	79	12500
0	DIGITS	1990	12337
0	DIGITS	81	12100
0	DIGITS	1989	11355
0	DIGITS	56	11296
0	DIGITS	777	11154
0	DIGITS	1987	10903
0	DIGITS	76	10821
0	DIGITS	420	10682
0	DIGITS	321	10399
0	DIGITS	111	10361
0	DIGITS	35	9974
0	DIGITS	67	9932
1	FRAG	a	89281
1	FRAG	m	62740
1	FRAG	s	57834
1	FRAG	k	53087
1	FRAG	j	49701
1	FRAG	b	48169
1	FRAG	d	46586
1	FRAG	c	45580
1	FRAG	r	45260
1	FRAG	l	44758
1	FRAG	n	41989
1	FRAG	t	38440
1	FRAG	e	36806
1	FRAG	p	30604
1	FRAG	com	30434
1	FRAG	g	28065
1	FRAG	i	26372
1	FRAG	h	26309
1	FRAG	x	23275
1	FRAG	u	22284
1	FRAG	f	21639
1	FRAG	y	20971
1	FRAG	me	19312
1	FRAG	o	19228
1	FRAG	v	18234
1	FRAG	w	17447
1	FRAG	z	14557
1	FRAG	hotmail	13419
1	FRAG	q	8750
1	FRAG	my	7087
1	FRAG	luv	5556
1	FRAG	ma	5319
1	FRAG	st	5196
1	FRAG	ss	4840
1	FRAG	ch	4769
1	FRAG	la	4730
1	FRAG	th	4703
1	FRAG	ms	4662
1	FRAG	am	4591
1	FRAG	as	4511
1	FRAG	jj	4285
1	FRAG	mm	4249
1	FRAG	aa	4232
1	FRAG	ab	4230
1	FRAG	jr	4117
1	FRAG	feb	4080
1	FRAG	sk	4045
1	FRAG	mr	3994
1	FRAG	nov	3993
1	FRAG	er	3943
1	FRAG	abc	3934
1	FRAG	bb	3913
1	FRAG	lil	3906
1	FRAG	da	3874
1	FRAG	jc	3869
1	FRAG	al	3830
1	FRAG	dec	3814
1	FRAG	no	3783
1	FRAG	jm	3598
1	FRAG	mom	3547
1	FRAG	sa	3471
1	FRAG	xx	3471
1	FRAG	ll	3468
1	FRAG	sh	3434
1	FRAG	de	3424
1	FRAG	cc	3414
1	FRAG	oct	3371
1	FRAG	ca	3369
1	FRAG	na	3368
1	FRAG	dj	3312
1	FRAG	hi	3253
1	FRAG	mc	3250
1	FRAG	te	3247
1	FRAG	teamo	3180
1	FRAG	ja	3155
1	FRAG	aj	3149
1	FRAG	an	3137
1	FRAG	jo	3098
1	FRAG	ac	3019
1	FRAG	kk	3001
1	FRAG	co	2999
1	FRAG	ka	2975
1	FRAG	lyf	2951
1	FRAG	ryan	2937
1	FRAG	jb	2923
1	FRAG	mj	2867
1	FRAG	mi	2800
1	FRAG	is	2799
1	FRAG	yo	2754
1	FRAG	ad	2740
1	FRAG	br	2698
1	FRAG	ar	2697
1	FRAG	rd	2685
1	FRAG	ck	2663
1	FRAG	sm	2660
1	FRAG	jen	2639
1	FRAG	el	2625
1	FRAG	dr	2576
1	FRAG	ng	2558
1	FRAG	aug	2555
