slot_index	slot_type	token	count
0	DIGITS	1	699853
0	DIGITS	2	272123
0	DIGITS	4	238996
0	DIGITS	3	221212
0	DIGITS	123	146979
0	DIGITS	7	129316
0	DIGITS	12	121734
0	DIGITS	5	114328
0	DIGITS	0	105195
0	DIGITS	8	100934
0	DIGITS	13	90319
0	DIGITS	6	85355
0	DIGITS	9	82820
0	DIGITS	11	78797
0	DIGITS	23	67325
0	DIGITS	22	67101
0	DIGITS	10	67035
0	DIGITS	14	63696
0	DIGITS	07	63553
0	DIGITS	21	63551
0	DIGITS	01	60640
0	DIGITS	15	56956
0	DIGITS	08	54651
0	DIGITS	06	54052
0	DIGITS	16	52076
0	DIGITS	18	50658
0	DIGITS	69	50069
0	DIGITS	17	48840
0	DIGITS	24	46374
0	DIGITS	05	43230
0	DIGITS	19	42078
0	DIGITS	09	39826
0	DIGITS	20	39227
0	DIGITS	25	38081
0	DIGITS	88	37434
0	DIGITS	03	33560
0	DIGITS	00	32686
0	DIGITS	27	32382
0	DIGITS	04	32170
0	DIGITS	02	30769
0	DIGITS	33	30611
0	DIGITS	89	30125
0	DIGITS	26	29804
0	DIGITS	99	29556
0	DIGITS	1234	29529
0	DIGITS	28	28907
0	DIGITS	77	27489
0	DIGITS	101	25757
0	DIGITS	92	24776
0	DIGITS	2007	24459
0	DIGITS	93	24119
0	DIGITS	87	23705
0	DIGITS	29	23495
0	DIGITS	94	22036
0	DIGITS	2006	22002
0	DIGITS	143	21845
0	DIGITS	90	21801
0	DIGITS	91	21169
0	DIGITS	30	20955
0	DIGITS	95	20667
0	DIGITS	2008	20022
0	DIGITS	55	19744
0	DIGITS	31	19459
0	DIGITS	100	19390
0	DIGITS	86	19214
0	DIGITS	666	18369
0	DIGITS	34	18011
0	DIGITS	44	17642
0	DIGITS	32	17525
0	DIGITS	96	17238
0	DIGITS	85	16945
0	DIGITS	45	16376
0	DIGITS	007	15930
0	DIGITS	84	15637
0	DIGITS	98	14736
0	DIGITS	1994	14514
0	DIGITS	78	14460
0	DIGITS	66	14389
0	DIGITS	2005	14300
0	DIGITS	1992	14159
0	DIGITS	1993	14070
0	DIGITS	83	14031
0	DIGITS	82	13849
0	DIGITS	12345	13545
0	DIGITS	97	13257
0	DIGITS	1991	13038
0	DIGITS	1995	12932
0	DIGITS	79	12500
0	DIGITS	1990	12337
0	DIGITS	81	12100
0	DIGITS	1989	11355
0	DIGITS	56	11296
0	DIGITS	777	11154
0	DIGITS	1987	10903
0	DIGITS	76	10821
0	DIGITS	420	10682
0	DIGITS	321	10399
0	DIGITS	111	10361
0	DIGITS	35	9974
0	DIGITS	67	9932
