slot_index	slot_type	token	count
0	WORD	love	23062
0	WORD	ever	18744
0	WORD	life	16089
0	WORD	eva	14720
0	WORD	yahoo	9746
0	WORD	baby	8523
0	WORD	may	7791
0	WORD	angel	7092
0	WORD	sexy	6318
0	WORD	alex	5420
0	WORD	pink	4977
0	WORD	june	4977
0	WORD	sam	4760
0	WORD	jan	4684
0	WORD	girl	4568
0	WORD	july	4555
0	WORD	you	4388
0	WORD	blue	4359
0	WORD	chris	4325
0	WORD	star	4139
0	WORD	red	4074
0	WORD	mike	4058
0	WORD	the	3975
0	WORD	jay	3835
0	WORD	mar	3785
0	WORD	man	3672
0	WORD	ash	3644
0	WORD	april	3629
0	WORD	john	3614
0	WORD	rock	3610
0	WORD	ana	3409
0	WORD	hot	3373
0	WORD	james	3255
0	WORD	cute	3249
0	WORD	boy	3232
0	WORD	cat	3204
0	WORD	jess	3176
0	WORD	march	3167
0	WORD	david	3108
0	WORD	jesus	3105
0	WORD	lee	3102
0	WORD	princess	3029
0	WORD	amor	2998
0	WORD	marie	2899
0	WORD	jose	2884
0	WORD	bitch	2857
0	WORD	jack	2849
0	WORD	ann	2819
0	WORD	rose	2783
0	WORD	joe	2750
0	WORD	luis	2749
0	WORD	matt	2705
0	WORD	kim	2700
0	WORD	and	2683
0	WORD	dan	2667
0	WORD	josh	2664
0	WORD	monkey	2626
0	WORD	daniel	2617
0	WORD	max	2609
0	WORD	password	2606
0	WORD	cool	2602
0	WORD	nick	2576
0	WORD	leo	2563
0	WORD	king	2563
0	WORD	maria	2561
0	WORD	dog	2552
0	WORD	boo	2518
0	WORD	mark	2478
0	WORD	sweet	2477
0	WORD	ale	2404
0	WORD	mel	2393
0	WORD	mary	2334
0	WORD	ben	2274
0	WORD	babe	2237
0	WORD	green	2227
0	WORD	lover	2218
0	WORD	pooh	2199
0	WORD	tony	2198
0	WORD	dani	2183
0	WORD	sept	2175
0	WORD	jason	2157
0	WORD	emma	2139
0	WORD	kitty	2102
0	WORD	god	2099
0	WORD	jordan	2095
0	WORD	juan	2088
0	WORD	lucky	2087
0	WORD	carlos	2082
0	WORD	amy	2044
0	WORD	kevin	2041
0	WORD	jake	2039
0	WORD	andy	2036
0	WORD	dad	2029
0	WORD	soccer	2010
0	WORD	crazy	1988
0	WORD	nana	1981
0	WORD	kat	1981
0	WORD	lady	1959
0	WORD	tom	1951
0	WORD	kids	1947
1	DIGITS	1	699853
1	DIGITS	2	272123
1	DIGITS	4	238996
1	DIGITS	3	221212
1	DIGITS	123	146979
1	DIGITS	7	129316
1	DIGITS	12	121734
1	DIGITS	5	114328
1	DIGITS	0	105195
1	DIGITS	8	100934
1	DIGITS	13	90319
1	DIGITS	6	85355
1	DIGITS	9	82820
1	DIGITS	11	78797
1	DIGITS	23	67325
1	DIGITS	22	67101
1	DIGITS	10	67035
1	DIGITS	14	63696
1	DIGITS	07	63553
1	DIGITS	21	63551
1	DIGITS	01	60640
1	DIGITS	15	56956
1	DIGITS	08	54651
1	DIGITS	06	54052
1	DIGITS	16	52076
1	DIGITS	18	50658
1	DIGITS	69	50069
1	DIGITS	17	48840
1	DIGITS	24	46374
1	DIGITS	05	43230
1	DIGITS	19	42078
1	DIGITS	09	39826
1	DIGITS	20	39227
1	DIGITS	25	38081
1	DIGITS	88	37434
1	DIGITS	03	33560
1	DIGITS	00	32686
1	DIGITS	27	32382
1	DIGITS	04	32170
1	DIGITS	02	30769
1	DIGITS	33	30611
1	DIGITS	89	30125
1	DIGITS	26	29804
1	DIGITS	99	29556
1	DIGITS	1234	29529
1	DIGITS	28	28907
1	DIGITS	77	27489
1	DIGITS	101	25757
1	DIGITS	92	24776
1	DIGITS	2007	24459
1	DIGITS	93	24119
1	DIGITS	87	23705
1	DIGITS	29	23495
1	DIGITS	94	22036
1	DIGITS	2006	22002
1	DIGITS	143	21845
1	DIGITS	90	21801
1	DIGITS	91	21169
1	DIGITS	30	20955
1	DIGITS	95	20667
1	DIGITS	2008	20022
1	DIGITS	55	19744
1	DIGITS	31	19459
1	DIGITS	100	19390
1	DIGITS	86	19214
1	DIGITS	666	18369
1	DIGITS	34	18011
1	DIGITS	44	17642
1	DIGITS	32	17525
1	DIGITS	96	17238
1	DIGITS	85	16945
1	DIGITS	45	16376
1	DIGITS	007	15930
1	DIGITS	84	15637
1	DIGITS	98	14736
1	DIGITS	1994	14514
1	DIGITS	78	14460
1	DIGITS	66	14389
1	DIGITS	2005	14300
1	DIGITS	1992	14159
1	DIGITS	1993	14070
1	DIGITS	83	14031
1	DIGITS	82	13849
1	DIGITS	12345	13545
1	DIGITS	97	13257
1	DIGITS	1991	13038
1	DIGITS	1995	12932
1	DIGITS	79	12500
1	DIGITS	1990	12337
1	DIGITS	81	12100
1	DIGITS	1989	11355
1	DIGITS	56	11296
1	DIGITS	777	11154
1	DIGITS	1987	10903
1	DIGITS	76	10821
1	DIGITS	420	10682
1	DIGITS	321	10399
1	DIGITS	111	10361
1	DIGITS	35	9974
1	DIGITS	67	9932
